No.,Kode Obat,Nama Obat,Golongan Obat,Kategori Obat,Frekuensi,Jumlah Terjual,Satuan,Total Nominal,Persentase,Persentase Kumulatif,Kategori Pareto,Stok,Kebutuhan Perperiode,Jumlah Pengadaan,Harga Beli,Nama Supllier,Status,Transaksi Terakhir
1,IMBOF,Imboost Force,Obat Bebas Terbatas,,77,"516,00",Tablet,"4.136.943,36","1,29%","1,29%",Pareto A,264,"516,00","252,00","6.043,33",PT Parit Padang Global,Under Stock,30 Sep 2022 
2,COTLK01,Tolak Angin  Cair/Banded 3s,Obat Bebas Terbatas,,140,"312,00",BANDED,"3.502.370,79","1,10%","2,39%",Pareto A,174,"312,00","138,00","8.457,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
3,IMBO,Imboost Tab,Obat Bebas Terbatas,,64,"553,00",Tablet,"2.492.625,99","0,78%","3,17%",Pareto A,204,"553,00","349,00","3.194,00",Barotama Mulya Perkasa,Under Stock,29 Sep 2022 
4,TRM3,Triaminic Exp 60 ml,Obat Bebas Terbatas,,25,"27,00",Botol,"2.251.466,28","0,70%","3,87%",Pareto A,10,"27,00","17,00","62.946,00",Mulya Wibawa PT,Under Stock,29 Sep 2022 
5,NEUROB2,NEUROBION FORTE PINK TABLET,Obat Bebas Terbatas,,40,"475,00",Tablet,"2.131.554,09","0,67%","4,54%",Pareto A,344,"475,00","131,00","3.368,09",APL ID 293873,Under Stock,30 Sep 2022 
6,CATF2,Cataflam 50 mg/Tablet,Obat Keras,,80,"243,00",Tablet,"2.110.510,71","0,66%","5,20%",Pareto A,188,"243,00","55,00","5.845,62",Tri Sapta Jaya PT,Under Stock,30 Sep 2022 
7,P000000000002,Pulsa Baru,Obat Bebas,,4,"1.803.600,00",PC,"2.001.996,00","0,63%","5,83%",Pareto A,"1,881,450","1.803.600,00","-77.850,00","1,00",Lain-lain Suplayer,Over Stock,25 Sep 2022 
8,Bye1,Bye Bye Fever Anak/pcs,Obat Bebas Terbatas,,70,"181,00",PC,"1.983.697,65","0,62%","6,45%",Pareto A,59,"181,00","122,00","8.259,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
9,P000000000040,Pamol /Strip 10,Obat Bebas Terbatas,,164,"174,00",Strip,"1.966.512,63","0,62%","7,06%",Pareto A,160,"174,00","14,00","8.500,00",Mensa Bina Sukses PT,Under Stock,30 Sep 2022 
10,OBT2208270002,JARDIANCE 25MG TABLET,,,1,"60,00",Tablet,"1.800.260,16","0,56%","7,63%",Pareto A,0,"60,00","60,00","21.162,77",APL ID 293873,Potential Lost,20 Sep 2022 
11,LAMES01,Lameson 4 mg,Obat Keras,,46,"327,00",Tablet,"1.798.125,63","0,56%","8,19%",Pareto A,206,"327,00","121,00","3.750,00",Kalista Prima PT,Under Stock,30 Sep 2022 
12,PARATU,Paratusin/10s,Obat Bebas Terbatas,,89,"104,00",Strip,"1.692.865,44","0,53%","8,72%",Pareto A,62,"104,00","42,00","12.232,50",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,30 Sep 2022 
13,OBT2209260001,RHINOS SR PER KAPSUL 1 BOX ISI 50,Obat Keras,Flu Batuk Dewasa,15,"215,00",KAPSUL,"1.683.553,65","0,53%","9,25%",Pareto A,176,"215,00","39,00","6.450,00",AAM (Anugrah Argon Medica),Under Stock,30 Sep 2022 
14,S000000000085,Scabicore Cream 30gr,Obat Keras,,8,"18,00",Tube,"1.676.244,30","0,52%","9,77%",Pareto A,12,"18,00","6,00","68.000,00",Kalista Prima PT,Under Stock,29 Sep 2022 
15,HUFAG,Hufagrip Flu Syr Kuning,Obat Bebas Terbatas,,66,"70,00",Botol,"1.644.070,95","0,51%","10,29%",Pareto A,24,"70,00","46,00","17.874,00",Combi Putra PT,Under Stock,30 Sep 2022 
16,TEMP2,Tempra F 60 ml,Obat Bebas Terbatas,,29,"29,00",Botol,"1.636.948,08","0,51%","10,80%",Pareto A,20,"29,00","9,00","42.600,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
17,ducbillsensi0,Masker Duckbill Sensi/Sachet 5s,Alat Kesehatan,,26,"100,00",SACHET,"1.629.888,48","0,51%","11,31%",Pareto A,112,"100,00","-12,00","12.300,00",AMS (Antarmitra Sembada),Over Stock,29 Sep 2022 
18,ACT04,Actifed + Cough 60 ml MERAH,Obat Bebas Terbatas,,23,"24,00",Botol,"1.569.517,80","0,49%","11,80%",Pareto A,13,"24,00","11,00","50.000,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,29 Sep 2022 
19,0000232,Rhinos Junior Syrup 60 ml,Obat Bebas Terbatas,,28,"29,00",Botol,"1.538.315,70","0,48%","12,28%",Pareto A,30,"29,00","-1,00","40.000,00",AAM (Anugrah Argon Medica),Over Stock,28 Sep 2022 
20,ACT02,Actifed + Exp 60 ml HIJAU,Obat Bebas Terbatas,,22,"23,00",Botol,"1.524.093,27","0,48%","12,76%",Pareto A,6,"23,00","17,00","50.000,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,30 Sep 2022 
21,PRAX3,Praxion F 250mg/5ml Susp 60ml,Obat Bebas Terbatas,,40,"42,00",Botol,"1.504.646,07","0,47%","13,23%",Pareto A,11,"42,00","31,00","27.000,00",Barotama Mulya Perkasa,Under Stock,29 Sep 2022 
22,RHINOS,zzzzzzzzzz Rhinos SR ,Obat Keras,,23,"169,00",KAPSUL,"1.501.834,44","0,47%","13,70%",Pareto A,0,"169,00","169,00","6.450,00",AAM (Anugrah Argon Medica),Potential Lost,25 Sep 2022 
23,TEMP1,TEMPRA SYR 60 ML,Obat Bebas Terbatas,,29,"29,00",Botol,"1.484.489,58","0,46%","14,16%",Pareto A,29,"29,00","0,00","38.600,00",Langkah Insan Mandiri PT,Stock On Hand,30 Sep 2022 
24,silex,Silex Syr,Obat Bebas Terbatas,,18,"18,00",Botol,"1.464.187,68","0,46%","14,62%",Pareto A,12,"18,00","6,00","61.400,00",Victory Indo Partnership PT,Under Stock,29 Sep 2022 
25,0001627,Crestor 10 mg,Obat Keras,,3,"45,00",Tablet,"1.418.491,20","0,44%","15,06%",Pareto A,20,"45,00","25,00","22.228,30",APL ID 293873,Under Stock,30 Sep 2022 
26,BECO,Becom Zet,Obat Bebas Terbatas,,31,"506,00",Tablet,"1.410.605,76","0,44%","15,51%",Pareto A,314,"506,00","192,00","2.100,00",BSP (Bina San Prima),Under Stock,28 Sep 2022 
27,Aml4,Amlodipin 5 mg MEDIKON/Strip 10,Obat Keras,,78,"158,00",Strip,"1.375.906,05","0,43%","15,94%",Pareto A,223,"158,00","-65,00","5.766,33",Kalista Prima PT,Over Stock,30 Sep 2022 
28,BISKIO1,Bisolvon Kids 60 ml,Obat Bebas Terbatas,,28,"29,00",Botol,"1.350.803,40","0,42%","16,36%",Pareto A,14,"29,00","15,00","37.237,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
29,0000626,Prontosan Gel 30 ml,Obat Bebas Terbatas,,4,"4,00",Tube,"1.343.035,62","0,42%","16,78%",Pareto A,2,"4,00","2,00","235.000,00",Dos Ni Roha PT,Under Stock,22 Sep 2022 
30,D000000000010,Degirol Strip 10s,Obat Bebas Terbatas,,80,"97,00",Strip,"1.341.255,18","0,42%","17,20%",Pareto A,47,"97,00","50,00","10.909,10",PT Asa Mulia,Under Stock,30 Sep 2022 
31,SANMO1,Sanmol Syr 60,Obat Bebas Terbatas,,65,"67,00",Botol,"1.303.193,28","0,41%","17,61%",Pareto A,31,"67,00","36,00","15.225,00",BSP (Bina San Prima),Under Stock,30 Sep 2022 
32,Lipit2,Lipitor 20 mg,Obat Keras,,5,"45,00",Tablet,"1.266.621,00","0,40%","18,00%",Pareto A,36,"45,00","9,00","19.775,63",Combi Putra PT,Under Stock,28 Sep 2022 
33,A000000000027,Alpentin 100 mg,Obat Keras,,11,"260,00",Tablet,"1.251.447,30","0,39%","18,39%",Pareto A,209,"260,00","51,00","3.400,00",AAM (Anugrah Argon Medica),Under Stock,30 Sep 2022 
34,IMBO1,Imboost Force Syr 120 ml,Obat Bebas Terbatas,,11,"11,00",Botol,"1.201.974,60","0,38%","18,77%",Pareto A,11,"11,00","0,00","83.549,90",Sumber Agung Sentosa,Stock On Hand,26 Sep 2022 
35,RHINOS1,Rhinos Neo Drop 10 ml,Obat Bebas Terbatas,,15,"17,00",Botol,"1.188.548,04","0,37%","19,14%",Pareto A,13,"17,00","4,00","52.000,00",AAM (Anugrah Argon Medica),Under Stock,30 Sep 2022 
36,OBT2202050002,Sporetik 100 MG CAPS,Obat Keras,Antibiotik,3,"40,00",KAPSUL,"1.149.296,22","0,36%","19,50%",Pareto A,46,"40,00","-6,00","20.250,00",BSP (Bina San Prima),Over Stock,22 Sep 2022 
37,VENTL5,"Ventolin Nebul. 2,5 mg/Ampul",Obat Keras,,21,"74,00",Ampul,"1.115.909,64","0,35%","19,85%",Pareto A,78,"74,00","-4,00","10.400,05",Sumber Agung Sentosa,Over Stock,30 Sep 2022 
38,gds,Strip Kolesterol Easy touch,Obat Bebas Terbatas,,6,"6,00",PC,"1.111.012,32","0,35%","20,20%",Pareto A,5,"6,00","1,00","140.000,00",Dwidaya Langgeng Sentosa,Under Stock,27 Sep 2022 
39,0001334,Crestor 20 mg,Obat Keras,,1,"30,00",Tablet,"1.088.221,80","0,34%","20,54%",Pareto A,64,"30,00","-34,00","25.574,50",APL ID 293873,Over Stock,14 Sep 2022 
40,T000000000051,Termometer Digital OMRON MC 246,Obat Bebas Terbatas,,15,"15,00",PC,"1.084.941,75","0,34%","20,88%",Pareto A,5,"15,00","10,00","54.594,60",Via Medica Alkes,Under Stock,28 Sep 2022 
41,0000540,Peptisol Vanila,Obat Bebas Terbatas,,7,"12,00",Dus,"1.068.994,38","0,33%","21,21%",Pareto A,17,"12,00","-5,00","70.000,00",Enseval Putra Megatranding PT,Over Stock,29 Sep 2022 
42,0000565,Candesartan Tab 8 mg Dexa,Obat Keras,,11,"185,00",Tablet,"1.058.165,22","0,33%","21,54%",Pareto A,224,"185,00","-39,00","4.500,00",Combi Putra PT,Over Stock,19 Sep 2022 
43,LAC-B,Lacto B,Obat Bebas Terbatas,,28,"124,00",SACHET,"1.053.214,62","0,33%","21,87%",Pareto A,128,"124,00","-4,00","6.375,00",AMS (Antarmitra Sembada),Over Stock,29 Sep 2022 
44,PARAT,Paratusin PE Syr 60,Obat Bebas Terbatas,,25,"26,00",Botol,"1.040.442,96","0,33%","22,20%",Pareto A,15,"26,00","11,00","30.200,00",Combi Putra PT,Under Stock,29 Sep 2022 
45,Chol,Strip Glukosa Easy Touch,Obat Bebas Terbatas,,7,"10,00",PC,"1.036.198,32","0,32%","22,52%",Pareto A,7,"10,00","3,00","82.000,00",Mutiara Mas Medika,Under Stock,30 Sep 2022 
46,OBT2205010002,Sangobion Capsul 10s,,,50,"54,00",Strip,"1.028.208,54","0,32%","22,84%",Pareto A,21,"54,00","33,00","14.375,72",APL ID 293873,Under Stock,30 Sep 2022 
